|       | *NSYNC: Get to the Show                                  | Infogrames               | Game Boy Color | 2001 | North America
|       | 007: The World is Not Enough                             | Electronic Arts          | Game Boy Color | 2001 | North America
|       | 10 Pin Bowling                                           | Majesco Games            | Game Boy Color | 1999 | North America
|       | 1942                                                     | Capcom                   | Game Boy Color | 2000 | North America
|       | 3-D Ultra Pinball: Thrillride                            | Sierra Entertainment     | Game Boy Color | 2000 | North America
|       | 720 Degrees                                              | Midway                   | Game Boy Color | 1999 | North America
|       | A Bug's Life                                             | THQ                      | Game Boy Color | 1998 | North America
|       | Action Man: Search for Base X                            | THQ                      | Game Boy Color | 2001 | North America
|       | AirForce Delta                                           | Konami                   | Game Boy Color | 2000 | North America
|       | Alice in Wonderland                                      | Nintendo                 | Game Boy Color | 2000 | North America
|       | Aliens: Thanatos Encounter                               | THQ                      | Game Boy Color | 2001 | North America
|       | All-Star Baseball 2000                                   | Acclaim                  | Game Boy Color | 1999 | North America
|       | All-Star Baseball 2001                                   | Acclaim                  | Game Boy Color | 2000 | North America
|       | Alone in the Dark: The New Nightmare                     | Infogrames               | Game Boy Color | 2001 | North America
|       | Animorphs                                                | Ubisoft                  | Game Boy Color | 2000 | North America
|       | Antz                                                     | Infogrames               | Game Boy Color | 1999 | North America
|       | Antz Racing                                              | Electronic Arts          | Game Boy Color | 2001 | North America
|       | Armada F/X Racers                                        | Metro3D                  | Game Boy Color | 2000 | North America
|       | Armorines: Project S.W.A.R.M.                            | Acclaim                  | Game Boy Color | 1999 | North America
|       | Army Men                                                 | 3DO                      | Game Boy Color | 2000 | North America
|       | Army Men 2                                               | 3DO                      | Game Boy Color | 2000 | North America
|       | Army Men: Air Combat                                     | 3DO                      | Game Boy Color | 2000 | North America
|       | Army Men: Sarge's Heroes 2                               | 3DO                      | Game Boy Color | 2000 | North America
|       | Arthur's Absolutely Fun Day!                             | The Learning Company     | Game Boy Color | 2000 | North America
|       | Asteroids                                                | Activision               | Game Boy Color | 1999 | North America
|       | Austin Powers: Oh, Behave!                               | Rockstar Games           | Game Boy Color | 2000 | North America
|       | Austin Powers: Welcome to my Underground Lair!           | Rockstar Games           | Game Boy Color | 2000 | North America
|       | Azure Dreams                                             | Konami                   | Game Boy Color | 2000 | North America
|       | Babe and Friends                                         | Crave                    | Game Boy Color | 1999 | North America
|       | Ballistic                                                | Infogrames               | Game Boy Color | 1999 | North America
|       | Barbie: Fashion Pack Games                               | Mattel                   | Game Boy Color | 2000 | North America
|       | Barbie: Magic Genie Adventure                            | Mattel                   | Game Boy Color | 2000 | North America
|       | Barbie: Ocean Discovery                                  | Mattel                   | Game Boy Color | 1999 | North America
|       | Barbie: Pet Rescue                                       | Mattel                   | Game Boy Color | 2001 | North America
|       | Bass Masters Classic                                     | THQ                      | Game Boy Color | 1999 | North America
|       | Batman Beyond: Return of the Joker                       | Ubisoft                  | Game Boy Color | 2000 | North America
|       | Batman: Chaos in Gotham                                  | Ubisoft                  | Game Boy Color | 2001 | North America
|       | Battleship                                               | Majesco Games            | Game Boy Color | 1999 | North America
|       | BattleTanx                                               | 3DO                      | Game Boy Color | 2000 | North America
|       | Billy Bob's Huntin'-n-Fishin'                            | Midway                   | Game Boy Color | 1999 | North America
|       | Bionic Commando: Elite Forces                            | Nintendo                 | Game Boy Color | 2000 | North America
|       | Black Bass: Lure Fishing                                 | Majesco Games            | Game Boy Color | 1999 | North America
|       | Blade                                                    | Activision               | Game Boy Color | 2000 | North America
|       | Blaster Master: Enemy Below                              | SunSoft                  | Game Boy Color | 2000 | North America
|       | Blue's Clues: Blue's Alphabet Book                       | Mattel                   | Game Boy Color | 2001 | North America
