|       | Ashen                                          | Nokia             | N-Gage | 2004 | North America
|       | Asphalt: Urban GT                              | Nokia             | N-Gage | 2004 | North America
|       | Asphalt: Urban GT 2                            | Nokia             | N-Gage | 2005 | North America
|       | Atari Masterpieces Vol. I                      | Atari SA          | N-Gage | 2005 | North America
|       | Atari Masterpieces Vol. II                     | Atari SA          | N-Gage | 2006 | North America
|       | Bomberman                                      | Nokia             | N-Gage | 2004 | North America
|       | Call of Duty                                   | Activision        | N-Gage | 2004 | North America
|       | Catan                                          | Nokia             | N-Gage | 2005 | North America
|       | Civilization                                   | Atari SA          | N-Gage | 2006 | North America
|       | Colin McRae Rally 2005                         | Nokia             | N-Gage | 2004 | North America
|       | Crash Nitro Kart                               | Nokia             | N-Gage | 2004 | North America
|       | Elder Scrolls Travels: Shadowkey, The          | Nokia             | N-Gage | 2004 | North America
|       | FIFA Soccer 2004                               | EA Sports         | N-Gage | 2004 | North America
|       | FIFA Soccer 2005                               | Nokia             | N-Gage | 2004 | North America
|       | Glimmerati                                     | Nokia             | N-Gage | 2005 | North America
|       | High Seize                                     | Nokia             | N-Gage | 2005 | North America
|       | King of Fighters Extreme, The                  | Nokia             | N-Gage | 2005 | North America
|       | Marcel Desailly Pro Soccer                     | Gameloft          | N-Gage | 2004 | North America
|       | Mile High Pinball                              | Nokia             | N-Gage | 2005 | North America
|       | MLB Slam!                                      | THQ               | N-Gage | 2003 | North America
|       | MotoGP                                         | THQ               | N-Gage | 2003 | North America
|       | NCAA Football 2004                             | EA Sports         | N-Gage | 2003 | North America
|       | One                                            | Nokia             | N-Gage | 2005 | North America
|       | Operation Shadow                               | Nokia             | N-Gage | 2004 | North America
|       | Pandemonium!                                   | Eidos Interactive | N-Gage | 2003 | North America
|       | Pathway to Glory                               | Nokia             | N-Gage | 2004 | North America
|       | Pathway to Glory: Ikusa Islands                | Nokia             | N-Gage | 2005 | North America
|       | Payload                                        | Nokia             | N-Gage | 2005 | North America
|       | Pocket Kingdom: Own the World                  | Nokia             | N-Gage | 2004 | North America
|       | Puyo Pop                                       | Sega              | N-Gage | 2003 | North America
|       | Puzzle Bobble VS                               | Taito Corporation | N-Gage | 2003 | North America
|       | Rayman 3                                       | Gameloft          | N-Gage | 2003 | North America
|       | Red Faction                                    | THQ               | N-Gage | 2003 | North America
|       | Requiem of Hell                                | Nokia             | N-Gage | 2004 | North America
|       | Rifts: Promise of Power                        | Nokia             | N-Gage | 2005 | North America
|       | Roots: Gates of Chaos, The                     | Nokia             | N-Gage | 2005 | North America
|       | Sims Bustin' Out, The                          | EA Games          | N-Gage | 2004 | North America
|       | SonicN                                         | Sega              | N-Gage | 2003 | North America
|       | Spider-Man 2                                   | Activision        | N-Gage | 2004 | North America
|       | SSX Out of Bounds                              | Nokia             | N-Gage | 2005 | North America
|       | Super Monkey Ball                              | Sega              | N-Gage | 2003 | North America
|       | System Rush                                    | Nokia             | N-Gage | 2005 | North America
|       | Tiger Woods PGA Tour 2004                      | EA Sports         | N-Gage | 2004 | North America
|       | Tom Clancy's Ghost Recon: Jungle Storm         | Gameloft          | N-Gage | 2004 | North America
|       | Tom Clancy's Splinter Cell Team Stealth Action | Gameloft          | N-Gage | 2003 | North America
|       | Tom Clancy's Splinter Cell: Chaos Theory       | Gameloft          | N-Gage | 2005 | North America
|       | Tomb Raider                                    | Nokia             | N-Gage | 2003 | North America
|       | Tony Hawk's Pro Skater                         | Nokia             | N-Gage | 2003 | North America
|       | Virtua Tennis                                  | Sega              | N-Gage | 2003 | North America
|       | Warhammer 40,000: Glory in Death               | Nokia             | N-Gage | 2006 | North America
|       | Worms World Party                              | Nokia             | N-Gage | 2005 | North America
|       | WWE Aftershock                                 | Nokia             | N-Gage | 2005 | North America
|       | X-Men Legends                                  | Nokia             | N-Gage | 2005 | North America
|       | Xanadu Next                                    | Nokia             | N-Gage | 2005 | North America
|       | Ashen                                          | Nokia             | N-Gage | 2004 | Europe
|       | Asphalt: Urban GT                              | Nokia             | N-Gage | 2004 | Europe
|       | Asphalt: Urban GT 2                            | Nokia             | N-Gage | 2005 | Europe
|       | Atari Masterpieces Vol. I                      | Atari SA          | N-Gage | 2005 | Europe
|       | Atari Masterpieces Vol. II                     | Atari SA          | N-Gage | 2006 | Europe
|       | Bomberman                                      | Nokia             | N-Gage | 2004 | Europe
|       | Call of Duty                                   | Activision        | N-Gage | 2004 | Europe
|       | Catan                                          | Nokia             | N-Gage | 2005 | Europe
|       | Civilization                                   | Atari SA          | N-Gage | 2006 | Europe
|       | Colin McRae Rally 2005                         | Nokia             | N-Gage | 2004 | Europe
|       | Crash Nitro Kart                               | Nokia             | N-Gage | 2004 | Europe
|       | Elder Scrolls Travels: Shadowkey, The          | Nokia             | N-Gage | 2004 | Europe
|       | FIFA Football 2004                             | EA Sports         | N-Gage | 2003 | Europe
|       | FIFA Football 2005                             | Nokia             | N-Gage | 2004 | Europe
|       | Flo Boarding                                   | Nokia             | N-Gage | 2003 | Europe
|       | Glimmerati                                     | Nokia             | N-Gage | 2005 | Europe
|       | High Seize                                     | Nokia             | N-Gage | 2005 | Europe
|       | King of Fighters Extreme, The                  | Nokia             | N-Gage | 2005 | Europe
|       | Marcel Desailly Pro Soccer                     | Gameloft          | N-Gage | 2004 | Europe
