|       | 50 Classic Games 3D                                                       | Maximum Family Games                   | Nintendo 3DS | 2012 | North America
|       | 7th Dragon III Code: VFD                                                  | Sega                                   | Nintendo 3DS | 2016 | North America
|       | Ace Combat: Assault Horizon Legacy                                        | Namco Bandai Games America             | Nintendo 3DS | 2011 | North America
|       | Ace Combat: Assault Horizon Legacy+                                       | Namco Bandai Games                     | Nintendo 3DS | 2015 | North America
|       | Adventure Time: Explore the Dungeon Because I DON'T KNOW!                 | D3Publisher                            | Nintendo 3DS | 2013 | North America
|       | Adventure Time: Finn and Jake Investigations                              | Little Orbit                           | Nintendo 3DS | 2015 | North America
|       | Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!               | D3Publisher                            | Nintendo 3DS | 2012 | North America
|       | Adventure Time: The Secret of the Nameless Kingdom                        | Little Orbit                           | Nintendo 3DS | 2014 | North America
|       | Adventures of Tintin: The Game, The                                       | Ubisoft                                | Nintendo 3DS | 2011 | North America
|       | Alien Chaos 3D                                                            | Giant Media Group                      | Nintendo 3DS | 2012 | North America
|       | Amazing Spider-Man 2, The                                                 | Activision                             | Nintendo 3DS | 2014 | North America
|       | Amazing Spider-Man, The                                                   | Activision                             | Nintendo 3DS | 2012 | North America
|       | American Mensa Academy                                                    | Square Enix                            | Nintendo 3DS | 2012 | North America
|       | Angler's Club: Ultimate Bass Fishing 3D                                   | D3Publisher                            | Nintendo 3DS | 2011 | North America
|       | Angry Birds Star Wars                                                     | Activision                             | Nintendo 3DS | 2013 | North America
|       | Angry Birds Trilogy                                                       | Activision                             | Nintendo 3DS | 2012 | North America
|       | Animal Crossing: Happy Home Designer                                      | Nintendo                               | Nintendo 3DS | 2015 | North America
|       | Animal Crossing: New Leaf                                                 | Nintendo                               | Nintendo 3DS | 2013 | North America
|       | Animal Crossing: New Leaf - Welcome Amiibo                                | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | AR Games                                                                  | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | Are You Smarter Than A 5th Grader?                                        | GameMill Entertainment                 | Nintendo 3DS | 2015 | North America
|       | Art Academy: Lessons for Everyone                                         | Nintendo                               | Nintendo 3DS | 2012 | North America
|       | Asphalt 3D                                                                | Ubisoft                                | Nintendo 3DS | 2011 | North America
|       | Azure Striker Gunvolt: Striker Pack                                       | Yacht Club Games                       | Nintendo 3DS | 2016 | North America
|       | Barbie and Her Sisters: Puppy Rescue                                      | Little Orbit                           | Nintendo 3DS | 2015 | North America
